15.7908,15.6933,16.7217,16.7977,17.2831,16.5511,17.4394,18.8077,19.9316,17.4244,20.3840,20.4649,20.2133,19.7696,19.4743,21.4238,22.1531,21.7381,21.0206,19.9070,18.2500,19.2465,19.8515,17.6482,19.1775,19.1148,19.2035,17.0639,17.3117,17.3114,17.3155
15.5672,14.9875,16.4895,17.5592,17.0564,16.6150,16.3457,16.7405,19.0267,19.6081,18.7731,18.2420,20.5967,18.6842,19.7341,20.7317,17.5932,20.1248,18.9643,19.6600,19.2984,19.3192,19.5823,17.8317,19.6974,18.8828,18.8770,19.1473,18.5147,18.5628,17.4951
15.4894,15.8360,14.5610,16.6731,16.5257,15.6375,14.7826,17.9652,17.3770,17.3636,18.0053,20.4114,18.9914,19.4360,18.2730,21.8501,21.0332,20.7450,19.6518,20.3587,19.6610,19.7474,18.8290,17.3494,19.6280,16.2881,17.7900,17.5647,16.6567,18.1068,17.0689
15.8045,16.3858,16.1109,15.9477,15.9285,20.3331,17.5522,15.8892,17.3837,18.8993,18.1477,20.3166,20.2407,19.5579,19.4127,19.1227,19.1790,18.2656,20.6794,20.8096,17.6101,17.5688,16.8751,17.4457,15.1354,16.7878,19.0005,17.3187,18.3559,17.0684,17.1880
15.9783,16.0508,15.6315,15.3873,18.6848,18.0090,17.3850,17.8815,17.8878,15.9037,19.1749,18.3785,18.8372,19.4344,20.6226,18.4378,18.2125,20.0198,19.8952,17.8839,19.1822,18.1414,18.6267,16.8202,18.7146,18.7645,17.9400,17.9638,13.5633,17.3447,17.0141
16.3204,14.7649,17.3535,14.7361,15.7416,17.3899,18.9191,18.0135,17.9331,16.9636,18.6165,19.1175,21.0562,20.2651,18.3254,22.2503,19.6610,18.9203,20.9664,19.2771,18.8619,19.2444,19.7221,19.6442,17.0959,20.2557,19.0509,17.3929,16.8401,16.4902,17.1132
14.9045,16.2148,16.5730,16.0308,17.3920,15.7383,19.5844,16.5223,19.2423,17.4087,19.9350,18.8058,19.7290,19.9509,21.4155,19.6813,16.6877,18.6116,19.3739,18.4782,19.4506,19.4118,18.0027,16.3789,19.1107,18.7118,17.1053,19.3180,16.6306,16.2257,18.1805
15.9155,16.6114,14.9766,14.5793,15.9983,18.4339,18.7779,18.4192,17.5888,18.6843,18.6792,19.0780,17.2163,19.1129,20.1560,21.7650,20.2838,21.5227,19.6350,19.7040,15.8038,19.9801,19.9250,20.9461,18.5340,18.9673,18.0633,17.3947,17.6372,17.7389,17.7530
15.8590,16.3182,15.5551,15.8327,16.6848,18.0140,17.0231,19.8001,18.3948,18.2998,20.2342,19.5895,19.6790,19.4148,21.9078,20.5357,19.2504,17.8053,19.5914,17.8816,17.1632,18.4833,18.7855,19.5724,18.4038,18.6917,16.4676,17.6238,17.4973,18.2543,17.0607
17.3319,14.6024,16.1229,16.9073,16.8261,16.5004,16.6363,18.2726,17.1062,18.9112,17.1540,18.4002,19.2167,18.1987,20.4222,20.2047,18.9683,18.3327,18.2249,19.6969,18.3995,17.9482,18.9658,21.2768,19.1943,19.3901,18.5757,19.0892,16.7605,17.4561,17.4694
16.3148,15.2603,15.6326,15.9167,14.4972,17.2043,16.0866,17.3275,19.0909,17.4911,17.9457,20.3481,19.8503,20.6768,19.7388,20.5720,18.7697,18.5884,19.4918,18.0762,19.3158,20.6129,16.3560,17.2336,18.9622,17.5708,18.7905,16.6163,17.7966,17.2630,17.0061
13.4837,15.5408,16.3723,16.9256,16.8246,16.5099,17.3878,18.1339,17.8883,18.1385,19.9618,17.9761,19.0145,17.6542,20.6146,20.6406,20.3003,20.5065,19.8818,19.6441,19.5028,18.3847,19.5463,17.9889,16.8218,18.9164,19.7065,16.8207,17.4846,16.5950,17.1096
15.5488,17.9189,15.8437,16.3717,16.4742,16.1025,17.6640,18.0812,17.9179,15.3553,19.1686,18.1797,17.4366,19.5100,19.7134,18.3469,22.0238,18.7217,18.4594,18.8831,21.3104,19.6524,19.0764,19.3657,18.7638,18.5339,18.6291,19.8060,20.0097,17.6704,18.4820
