9.1257,9.1260,8.9468,8.8917,8.5807,8.2049,7.5965,7.0316,6.4683,5.9353,5.2939,4.5470,3.8971,3.0206,2.1025,1.0683,0.0547,-0.9799,-2.1020,-3.0850,-4.2636,-5.1733,-6.1892,-7.0925,-7.9498,-8.9455,-9.9921,-11.1659,-12.1689,-13.3319,-14.4295,-15.3227,-16.3637,-17.2839,-18.2909,-19.3763
9.6837,9.5672,9.3323,9.2550,9.2221,8.8644,8.3951,8.0251,7.6634,7.2724,6.8050,6.0403,5.3916,4.5198,3.4930,2.6466,1.5297,0.3365,-0.7350,-1.8472,-2.9900,-4.1223,-5.3432,-6.4029,-7.4112,-8.4451,-9.7055,-10.9013,-12.0058,-13.2431,-14.3580,-15.3635,-16.3960,-17.4056,-18.4259,-19.5227
9.3712,9.3435,9.0281,8.7589,8.4871,8.0972,7.7242,7.3079,6.6794,6.1388,5.4289,4.8890,4.1130,3.4184,2.6104,1.7251,0.7496,-0.4985,-1.7855,-2.9030,-3.9482,-5.1008,-6.2539,-7.3138,-8.6085,-9.6116,-10.7525,-11.9807,-13.1336,-14.3017,-15.5698,-16.5917,-17.6826,-18.8480,-19.9417,-21.1099
9.5803,9.5726,9.3894,9.4993,9.0376,8.7774,8.5187,8.0541,7.4377,6.7062,6.2280,5.3998,4.5165,3.5277,2.5663,1.5347,0.5232,-0.3187,-1.5418,-2.6461,-3.8313,-4.8341,-5.9130,-6.7816,-7.9367,-9.0902,-10.1324,-11.2748,-12.4925,-13.5004,-14.7529,-15.8816,-17.0819,-18.0755,-19.2442,-20.4295
6.0640,5.8951,5.6985,5.3921,5.1925,4.7763,4.3687,3.8038,3.4292,2.9326,2.3132,1.5902,0.8197,-0.0422,-0.7744,-1.5501,-2.5215,-3.5195,-4.3973,-5.4362,-6.2775,-7.1837,-8.1377,-9.0803,-10.0081,-10.9736,-11.9521,-12.8585,-14.0067,-14.9069,-15.9801,-17.0630,-17.9609,-19.1788,-20.2701,-21.1853
8.9502,8.9065,8.8842,8.8887,8.6003,8.1836,7.7373,7.3681,6.8185,6.3883,5.6895,5.0678,4.4295,3.4556,2.5722,1.5588,0.4615,-0.6077,-1.7561,-2.9174,-4.0083,-5.2061,-6.2488,-7.2822,-8.1752,-9.1997,-10.2102,-11.3226,-12.3400,-13.7662,-14.8829,-15.9436,-17.0869,-18.0885,-19.2485,-20.3961
7.8629,7.9067,7.9676,7.8590,7.5811,7.1146,6.7399,6.3794,5.9667,5.5384,4.8955,4.3011,3.6177,2.9292,2.0578,1.0628,0.0953,-1.0500,-2.1918,-3.1174,-4.2322,-5.3024,-6.6006,-7.6782,-8.7119,-9.7939,-11.2327,-12.2271,-13.3147,-14.4280,-15.5557,-16.4828,-17.6278,-18.6737,-19.6354,-20.7503
9.6651,9.6278,9.5473,9.2725,9.0474,8.7738,8.3283,7.9029,7.3828,6.7269,6.3084,5.6115,4.7925,3.9573,3.0379,2.1505,1.3155,0.3148,-0.6068,-1.7246,-2.7986,-4.0912,-5.1862,-6.2706,-7.4998,-8.5950,-9.6847,-10.8310,-11.8839,-12.9721,-14.2717,-15.4099,-16.5574,-17.5159,-18.5798,-19.6270
10.0686,10.0791,10.0569,9.7784,9.5058,9.1949,8.9413,8.4666,7.9367,7.2612,6.5101,5.6522,4.8831,4.1029,3.0910,1.9513,0.7902,-0.3521,-1.4253,-2.4999,-3.7252,-4.7951,-5.9118,-7.0417,-8.3951,-9.4687,-10.3960,-11.4151,-12.5862,-13.6995,-14.8622,-16.1294,-17.1300,-18.1992,-19.1399,-20.1301
8.9358,8.9002,8.7083,8.2765,7.8860,7.7033,7.2545,6.8627,6.3259,5.6993,5.1327,4.5158,3.6099,2.9159,2.1622,1.2546,0.2641,-0.9226,-1.8590,-2.9248,-3.9684,-5.1591,-6.2259,-7.3637,-8.3978,-9.4106,-10.6741,-11.5989,-12.7129,-13.6932,-14.9104,-15.9416,-17.0743,-18.1274,-19.2919,-20.3654
