4.9339,5.9550,7.1078,8.3873,8.5287,10.3263,9.5677,6.9812,8.1377,9.9098,11.3452,12.1565,13.3957,14.5194,16.6845,18.2168,20.4199,20.1477,20.0999,22.9189,25.2370
5.3907,5.8676,8.0011,8.8719,8.9311,11.1430,11.0020,9.8583,10.4642,11.4337,13.1645,15.0033,17.5060,17.7164,21.1911,20.5706,21.2015,24.7167,27.5756,28.8355,31.3993
5.3152,6.4095,7.6144,8.5096,8.4283,10.4545,10.9462,10.6929,10.5408,10.8427,12.1108,14.6434,16.0728,17.4478,19.2927,20.8019,22.2159,23.8324,26.0698,27.5137,30.5516
5.1292,5.2328,6.7734,8.2140,9.1987,10.4283,11.8763,9.1022,9.4174,10.3033,11.7779,13.6052,14.5456,15.8509,17.0349,19.6100,20.5277,20.3687,20.8914,23.0704,24.8348
5.4587,6.0786,7.3192,8.2057,10.0035,10.4619,8.1199,8.3329,9.9120,11.5558,11.9237,12.9906,14.9891,17.6158,18.2830,20.6896,19.5963,19.5844,20.8201,22.6352,26.3028
6.1552,6.1937,7.0682,7.5144,10.4353,9.0016,10.2666,9.9543,10.3713,11.3602,12.5041,15.4988,15.8799,17.6479,19.2960,21.4333,22.6352,23.8077,27.5096,28.1308,31.4313
4.5392,6.4230,7.1265,9.2005,8.8441,10.0347,9.5206,9.0338,9.8638,11.9581,12.4365,14.5384,15.7143,18.5559,19.4207,21.4178,21.4962,17.9780,20.6798,21.6170,24.8363
5.2812,5.9448,7.1333,7.9332,6.9428,10.0607,10.0137,10.3827,11.2443,12.2920,14.5580,16.0562,18.2220,19.4091,21.9087,20.5751,21.3801,23.6466,25.3999,28.6093,31.3590
4.4637,5.0703,7.1207,8.0842,8.4986,10.3949,10.5192,12.9069,12.7286,14.6311,16.5560,18.6893,21.1954,18.6110,19.2453,21.3628,24.2964,25.9805,29.4398,31.2708,34.7851
5.5812,5.1731,6.8263,7.4625,8.4173,9.9945,10.7353,11.4739,11.5947,12.4565,14.9000,16.6509,19.1585,20.3269,22.3578,20.7168,20.7819,20.8313,24.6151,27.2450,29.3372
5.6921,5.5914,6.6227,7.9602,8.5827,9.9169,12.5833,13.7982,15.4554,16.0080,18.5726,21.0246,21.4164,21.8870,23.9739,26.6228,28.9491,31.4321,35.3816,38.3137,40.4004
5.5733,5.9511,6.7777,7.6242,8.4461,10.5749,11.7638,11.0917,11.0497,12.6538,13.2919,14.1411,16.1350,18.0093,20.1193,18.8996,18.4926,21.8997,23.9087,26.1719,28.2340
5.1492,6.2338,6.6270,8.1694,9.1338,9.8799,12.5959,13.5056,14.5833,16.5465,18.1353,20.5443,22.9299,22.2627,25.2697,26.6282,29.5825,31.1732,35.0560,38.2519,41.0987
5.0621,5.9458,6.6811,8.2618,9.3062,9.3605,9.8059,10.7516,12.9623,13.9106,15.4912,16.8111,18.9570,20.5422,22.7307,21.1128,23.0888,25.1445,28.5857,30.7122,34.2425
5.3231,5.5095,5.9598,7.5940,8.0021,9.8668,10.2699,10.9283,9.9350,11.2179,11.9769,13.4999,14.7557,16.3593,17.9295,21.0082,20.7333,22.9311,23.9706,26.3052,30.1140
5.0161,5.9287,7.2737,7.9803,9.1623,10.6919,9.6962,8.2243,9.9103,12.6001,13.0196,15.0484,16.3864,18.1106,20.7660,20.1545,18.3100,21.9462,24.0596,25.9616,28.2772
4.3900,6.6227,6.8309,8.0140,8.4429,10.1000,11.0210,12.3404,14.0289,14.4426,17.8103,18.5397,21.3212,19.8300,20.5288,22.3428,24.7433,26.6104,29.6913,32.1508,34.8589
3.9844,6.2692,7.3247,8.1275,8.9872,10.2054,11.9875,9.6135,11.2233,12.9810,14.2918,15.6479,16.9986,19.8864,20.1496,21.2599,20.2515,22.8440,25.6780,27.0363,31.3953
6.1918,6.3580,7.4989,7.6729,8.8790,10.3489,10.7166,9.8670,11.5235,11.5348,13.8365,16.4089,15.8853,19.1479,20.0742,19.7655,19.6609,22.4813,24.3752,26.0012,28.6721
5.0509,6.0765,6.8429,7.3339,8.7164,10.1032,11.1698,11.5150,13.3333,14.7307,16.9385,18.1433,20.4139,19.9986,19.7836,21.5462,24.4600,26.4151,29.1189,31.6225,34.6020
5.2579,5.8177,7.1416,8.1071,8.8180,10.1950,11.6377,12.1717,13.3132,15.6731,15.6040,18.2553,20.1284,20.7252,21.1647,23.3855,25.0807,28.1497,30.9011,33.6636,37.4143
5.1082,6.0775,6.7928,8.0413,9.0667,9.8239,8.7413,6.9159,8.3872,10.2911,9.9265,11.6659,14.0933,15.8741,16.1908,19.0208,20.6970,20.3669,21.0751,22.4252,25.4116
5.0027,5.7952,6.2686,6.9614,9.9770,9.4603,10.5284,11.2822,10.1290,12.6123,13.1523,15.2586,16.5675,18.1236,20.1349,19.0320,17.7181,19.9442,21.5004,23.4256,26.1870
4.8648,5.5533,6.3320,7.3818,8.4266,9.8929,12.2138,11.3001,12.6796,13.3729,15.1659,17.1267,18.3067,21.1396,21.6941,20.0015,21.1434,23.5020,25.9228,28.1258,30.9917
4.9780,5.8174,6.4569,7.4765,8.9994,10.7968,10.9437,9.3364,11.4445,11.9681,12.6295,14.8791,16.8154,18.0037,20.5458,21.5949,19.1248,22.0744,22.9022,26.1350,28.9524
6.4373,5.4332,7.4207,7.4561,7.3121,10.5485,8.2397,7.7568,9.6283,10.8432,12.4251,13.9019,15.6478,15.8094,17.9271,20.2702,21.0568,20.3012,22.6612,24.8625,27.4974
5.2246,7.0647,7.6593,8.2184,9.6246,10.7371,12.2555,12.1651,14.1686,15.1810,16.1727,18.0959,20.9209,19.7865,20.0313,21.9775,23.6485,25.9871,28.7981,31.7640,34.4768
5.3189,5.8849,6.5518,7.6102,9.1682,9.5153,10.7690,10.0192,11.0980,11.6437,13.2300,13.6050,16.6232,18.6126,20.2059,19.6621,21.2991,23.9811,25.2652,27.5508,30.4942
5.5411,6.1115,6.6913,8.4271,9.4428,10.2087,9.8473,10.8869,12.3727,14.8975,16.3241,17.4191,20.0889,21.6773,22.4166,22.6776,23.5080,26.1386,28.5470,31.5620,34.8947
4.7713,5.5458,6.0724,7.4983,9.4862,10.7496,10.8436,7.8362,11.4237,11.7540,12.8350,14.1186,17.2666,18.2269,21.7133,19.8280,21.1861,23.2599,26.3653,28.0051,30.4527
5.2725,5.3722,5.8278,7.8038,7.9690,10.3893,10.9643,9.9509,11.5172,13.6764,14.5214,15.3733,17.6221,20.2205,22.2824,23.3014,24.5389,26.9878,31.0556,33.0057,35.4636
4.8174,5.6375,7.8473,7.9471,8.8610,9.6494,10.8250,11.3003,13.2251,15.0143,16.0350,16.8065,19.6959,21.5512,19.4353,21.2294,23.1875,24.8343,27.7192,31.6342,34.5299
5.1882,5.7582,6.8259,8.4097,9.5295,10.3747,9.9787,7.2083,8.5010,8.3714,10.1931,12.1165,14.1269,14.4570,16.2031,18.3898,20.3934,17.8364,17.5724,20.8726,21.9378
6.0085,6.2517,7.6088,7.6339,9.6229,9.3964,10.9702,11.3047,11.4614,13.5288,14.6429,15.5045,17.2595,19.7066,22.7323,22.8282,21.8941,23.9917,26.4233,28.4182,31.3833
5.1482,5.1430,7.5532,7.4961,9.1530,11.0197,10.7416,10.9489,12.9776,14.7001,14.7740,17.2958,19.9681,21.6851,21.6285,22.6538,25.7394,26.9780,29.8473,33.0218,36.1306
5.1482,5.7923,6.7493,7.7075,8.6655,10.1782,10.0089,10.4388,10.4925,13.1750,14.6167,15.5151,17.0370,19.7128,21.6597,20.0670,21.3999,22.9783,26.2620,28.6858,31.0360
5.7466,5.4028,6.8029,7.5844,9.0519,9.5922,9.9443,9.2598,9.8339,10.5020,11.7587,12.6610,15.8312,16.5305,18.8804,20.7331,21.6114,21.6768,24.2055,26.7534,28.5721
4.4232,5.2401,6.8103,7.0488,9.7459,10.5523,12.3360,11.6801,12.6908,14.0155,14.9482,17.4099,19.1375,20.7576,22.8077,22.6402,25.6701,27.9540,32.0075,34.5272,37.6622
4.8187,5.5925,6.6509,7.3044,8.6324,10.1018,10.5992,11.5609,13.5038,17.0662,17.6487,18.7854,20.6532,23.8461,23.2157,26.0481,29.0005,31.5513,34.9343,37.5340,41.4227
4.7116,6.7379,5.8526,7.4246,8.8614,10.3846,11.9452,13.5153,15.0748,15.7427,18.3881,19.4263,21.6205,21.5320,19.4026,21.5218,24.7301,25.7530,27.9409,31.3679,34.0525
4.2118,5.3234,5.9683,7.5175,9.2434,9.3596,10.7782,8.6085,10.4386,11.5769,13.0498,15.0955,16.5792,18.7745,20.1350,17.0385,15.6909,18.2588,19.3834,21.3075,23.5001
5.1786,6.1245,6.3476,8.2407,9.4989,9.4782,10.2508,9.4140,11.0978,12.1218,14.1068,15.2885,17.0891,18.4574,20.0846,21.7197,20.9530,24.6860,27.0133,29.6318,31.4840
4.7815,5.7462,6.5855,8.2105,9.2876,9.9380,11.5704,9.8426,11.3127,12.9926,14.5270,16.8338,17.5259,18.8153,21.4095,19.6956,21.0938,22.5524,24.7388,27.0969,31.2310
4.9541,4.8854,7.2305,8.7351,9.0812,10.9070,10.2219,10.8041,11.9190,12.5515,14.8275,16.6372,18.3163,19.9162,21.4988,23.3097,24.5642,26.8819,29.5768,32.6646,36.1706
4.6339,6.1035,6.9943,8.8288,8.6971,10.3303,10.5627,9.8714,10.7785,13.5766,13.9028,16.0080,18.2781,20.2954,21.2905,19.6734,17.5952,19.7955,22.2543,24.6398,26.6649
4.6034,5.5379,6.8063,7.7229,9.1759,9.9278,9.6887,9.6067,11.1117,13.2729,12.8550,14.6073,16.4192,17.6681,19.8662,20.1560,20.9937,21.9324,24.5292,27.8409,30.6071
4.9532,5.9988,7.1197,7.0194,8.9979,9.2290,11.2952,10.0537,9.6167,11.5690,12.4280,14.7047,15.8634,17.6588,18.4035,20.3611,22.4361,20.4489,23.1853,25.6277,27.1106
4.9273,5.9068,6.7261,7.8874,9.3123,9.6483,10.7933,8.2122,10.6579,11.2779,13.1717,13.4100,16.1732,17.3936,18.7628,21.4420,19.7921,17.9922,20.0696,22.2349,25.1979
4.7340,5.6390,6.2923,8.7972,8.9059,11.4385,11.4561,12.3498,12.4896,15.3170,16.9658,20.0052,21.1760,19.5750,19.1751,21.6326,23.7353,26.7635,28.7021,31.8306,34.3528
5.6201,6.1982,6.7955,7.8271,8.0430,9.7401,10.5618,9.1205,10.4025,12.8397,14.0111,15.4482,17.5864,19.4922,21.4435,23.6184,23.7267,26.7093,29.1778,30.6725,33.4068
4.8393,5.8815,7.6179,8.1680,8.3522,10.1595,9.5687,10.3852,10.7668,12.5928,13.9854,14.6924,17.0274,19.8348,20.8171,20.4888,21.4633,23.8314,26.7592,29.0511,31.5019
5.1877,6.5898,6.2251,7.4382,8.3034,9.8434,11.7601,11.0542,12.5479,13.7460,16.4788,18.1711,19.6769,21.1753,20.9604,21.1533,25.2483,26.7288,28.8082,31.3031,34.6712
4.5480,5.2975,6.2503,8.6017,8.5971,10.2831,11.2872,11.0176,10.4594,13.7441,14.1030,16.1737,17.1269,19.9725,22.3744,21.2270,22.4750,23.9133,26.1381,29.2722,31.9243
4.8684,5.4173,6.6454,8.2027,9.0782,10.4432,9.4596,9.2866,11.3783,12.0397,13.2735,14.6375,15.9895,18.5550,19.3196,22.8563,22.3712,23.9745,25.9142,27.3759,30.5087
4.4474,6.4747,6.3746,7.3558,9.0431,9.7057,9.9086,10.3302,11.8074,14.2518,15.2834,16.4539,18.3947,19.6423,20.3930,21.6258,23.9607,25.5417,28.6656,30.4163,33.9726
4.5754,6.4113,6.8140,8.7017,8.3615,10.6514,9.0665,9.0881,9.5054,10.9968,11.9897,13.6365,14.9798,15.8197,19.5935,21.1992,17.7996,19.1077,20.9854,22.6299,24.7165
