Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (Cumulative)
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:172(update_rule),116,116,0.0030172000000000003,2.601034482758621e-05,0.2340548,0.0020177137931034483
c:\Users\birik\github\SOGA\src\ASGMTParser.py:693(list_),186,186,0.0014579,7.838172043010753e-06,0.015358900000000002,8.25747311827957e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:194(add),62,62,0.0006646,1.0719354838709678e-05,0.0757742,0.0012221645161290323
c:\Users\birik\github\SOGA\src\ASGMTParser.py:355(getValue),31,31,9.7e-05,3.1290322580645163e-06,0.00040740000000000004,1.3141935483870969e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:265(add_term),116,116,0.0007080000000000001,6.103448275862069e-06,0.0689484,0.0005943827586206897
c:\Users\birik\github\SOGA\src\TRUNCParser.py:534(monom),88,88,0.0005253,5.9693181818181825e-06,0.0088388,0.0001004409090909091
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:102(enterAdd),62,62,0.00031830000000000004,5.133870967741936e-06,0.0029309,4.727258064516129e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:465(getVar),106,106,0.0002686,2.5339622641509435e-06,0.0021878,2.0639622641509437e-05
c:\Users\birik\github\SOGA\src\ASGMTParser.py:682(unpack),186,186,0.0024119000000000002,1.296720430107527e-05,0.006424,3.4537634408602154e-05
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:160(asgmt_parse),62,62,0.0007563,1.2198387096774193e-05,0.1369697,0.002209188709677419
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:98(enterAssignment),62,62,0.0001667,2.688709677419355e-06,0.0020519,3.3095161290322584e-05
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:153(exitAdd),62,62,0.0015017000000000001,2.4220967741935485e-05,0.0022154,3.573225806451613e-05
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:85(__init__),62,62,0.00012680000000000002,2.045161290322581e-06,0.00012680000000000002,2.045161290322581e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:140(enterRule),88,88,0.0001129,1.2829545454545456e-06,0.00017680000000000001,2.0090909090909094e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:144(exitRule),88,88,6.400000000000001e-05,7.272727272727274e-07,8.840000000000001e-05,1.0045454545454547e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:209(enterRule),88,88,0.00010470000000000001,1.1897727272727273e-06,0.0047285,5.373295454545455e-05
c:\Users\birik\github\SOGA\src\TRUNCParser.py:213(exitRule),88,88,8.130000000000001e-05,9.238636363636365e-07,0.0001121,1.2738636363636363e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:258(enterRule),88,88,6.110000000000001e-05,6.943181818181819e-07,9.11e-05,1.0352272727272727e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:262(exitRule),88,88,5.7900000000000005e-05,6.579545454545455e-07,8.61e-05,9.78409090909091e-07
c:\Users\birik\github\SOGA\src\TRUNCParser.py:125(__init__),88,88,0.0001517,1.7238636363636365e-06,0.0005318,6.043181818181818e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:190(__init__),88,88,8.32e-05,9.454545454545455e-07,0.0002708,3.0772727272727277e-06
